track_id,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key,mode,artist_id1,artist_id2,artist_id3,released_month,released_day,song_name,artist_name1,artist_name2,artist_name3
6VrQTLzzuyGIYjUDe4kAZk,2022,1029,28,403231558,5,28,9,0,0,152.0,84.0,74.0,69.0,21.0,0.0,18.0,6.0,B,Major,4q3ewBCX7sLwd24euuV69X,,,5,6,Un Coco,Bad Bunny,,
6WH7c9YpSG586CdSE5Kylh,2022,918,0,120847157,34,39,30,0,0,105.0,91.0,73.0,72.0,13.0,0.0,9.0,15.0,A,Minor,7jLpPyJ5gQxCvwiBsUfFu6,60wslYioiBcxSTInM4nIy2,7hCuNVmOMT7ntattMgmL96,2,25,"Nobody Like U - From ""Turning Red""/Soundtrack Version",4*TOWN (From Disney and Pixar’s Turning Red),Jordan Fisher,Finneas O'Connell
6XO8RlYuJCiI0v3IA48FeJ,2022,766,0,84697729,16,0,9,0,0,83.0,65.0,24.0,53.0,6.0,0.0,51.0,4.0,D#,Minor,64KEffDW9EtZ1y2vBYgq8T,4MCBfE4596Uoi2O4DtmEMz,,10,14,Bye Bye,Marshmello,Juice WRLD,
6XSqqQIy7Lm7SnwxS4NrGx,2023,2610,40,335222234,43,100,54,14,187,100.0,86.0,67.0,66.0,14.0,0.0,12.0,16.0,B,Major,2LRoIwlKmHjgvigdNGBHNo,3qsKSpcV3ncke3hw52JSMB,,3,31,Classy 101,Feid,Young Miko,
6XbtvPmIpyCbjuT0e8cQtp,2023,714,43,58149378,25,89,30,13,194,100.0,67.0,26.0,71.0,37.0,0.0,11.0,4.0,F,Major,52iwsT98xCoGgiGntTiR7K,,,7,7,Columbia,Quevedo,,
6Xj014IHwbLVjiVT6H89on,2022,542,2,156214700,23,2,21,0,0,110.0,81.0,64.0,79.0,5.0,0.0,31.0,3.0,G#,Minor,31VFEohvhOUKrtAONEBhMG,,,10,26,Malas Decisiones,Kenia OS,,
6Xom58OOXk2SoU711L2IXO,2022,4572,33,909001996,74,113,85,9,2,100.0,80.0,29.0,67.0,29.0,0.0,12.0,3.0,F,Minor,4q3ewBCX7sLwd24euuV69X,,,5,6,Moscow Mule,Bad Bunny,,
6Z165JvPnS8PYvGW8oLGLc,2021,801,0,184826429,42,9,24,1,1,138.0,70.0,31.0,44.0,84.0,0.0,9.0,39.0,D#,Major,79AyR6ATpj2LTPxfb6FX50,,,8,9,Flowers,Lauren Spencer Smith,,
6Z4rRhYZVQsYKmrxD40tru,2022,161,6,71007139,10,79,2,0,42,135.0,80.0,85.0,74.0,62.0,0.0,8.0,9.0,F,Minor,34gAaWeYZoRER7MY3KBy1Q,3x1jBMHHrDUQbtRrvV78h2,,9,29,Obsessed,Riar Saab,Abhijay Sharma,
6ZZf5a8oiInHDkBe9zXfLP,2023,715,0,39893489,37,3,27,0,50,176.0,50.0,44.0,76.0,10.0,0.0,32.0,5.0,F#,Minor,6eUKZXaKkcviH0Ku9w2n3V,,,5,5,Curtains,Ed Sheeran,,
6aLYE7Ix7AOR5tRbb4SbsS,2013,50887,34,1970673297,315,160,"6,284",1,46,124.0,53.0,66.0,78.0,0.0,0.0,16.0,5.0,D,Major,1vCWHaC5f2uS3yhpwWbIA6,,,1,1,Wake Me Up - Radio Edit,Avicii,,
6bQ5823aHmFVKLZW8E7rRo,2022,859,0,178512385,14,0,11,0,0,82.0,79.0,48.0,84.0,13.0,0.0,21.0,23.0,A#,Major,1bAftSH8umNcGZ0uyV7LMg,3EiLUeyEcA6fbRPSHkG5kb,52iwsT98xCoGgiGntTiR7K,3,31,Si Quieren Frontear,Duki,De La Ghetto,Quevedo
6bTVP50bbtMtD6RGe2cUoQ,2022,625,4,185236961,13,18,12,0,0,103.0,61.0,38.0,62.0,14.0,0.0,23.0,40.0,G#,Major,1bAftSH8umNcGZ0uyV7LMg,,,7,20,GIVENCHY,Duki,,
6bTdZ7xfKp3NqqADJ8HLyj,2022,540,4,187772591,26,3,39,0,0,115.0,78.0,63.0,64.0,1.0,0.0,7.0,4.0,G#,Minor,5nP8x4uEFjAAmDzwOEc9b8,3MrDVzg7ZXaYMyQmbDInr7,68YeXpLt3jB7JHQS5ZjMGo,1,30,Vampiro,Matuê,WIU,Teto
6dBUzqjtbnIa1TwYbyw5CM,2014,6339,13,466231982,3,1,36,1,37,105.0,56.0,57.0,87.0,0.0,1.0,10.0,4.0,F,Minor,0Y6dVaC9DZtPNH4591M42W,,,6,5,Lovers Rock,TV Girl,,
6dgUya35uo964z7GZXM07g,2022,2346,27,342897938,69,12,38,8,64,139.0,74.0,68.0,68.0,3.0,0.0,26.0,4.0,G#,Major,74KM79TiuVKeVCqs8QtB0B,,,7,15,Nonsense,Sabrina Carpenter,,
6eT2V7nKXyMf47TwPbtgAD,2022,1007,0,98709329,5,31,1,0,0,152.0,65.0,35.0,65.0,44.0,18.0,21.0,7.0,C#,Major,7tYKF4w9nC0nq9CsPZTHyP,,,12,9,Seek & Destroy,SZA,,
6ejks4eS7DOoYW8hrpRcDV,2022,5415,32,682475162,46,16,53,1,2,96.0,87.0,82.0,53.0,10.0,0.0,5.0,8.0,A#,Minor,790FomKkXshlbRYZFtlgla,1Yj5Xey7kTwvZla8sqdsdE,7j6DKwmjbxvpQO8h914uEz,1,21,UNA NOCHE EN MEDELLÍN - REMIX,KAROL G,Cris Mj,Ryan Castro
